family,midparentHeight,children,childNum,gender,childHeight,pair,parentHeight
1,75.43,4,2,female,69.2,father_daughter,78.5
1,75.43,4,1,male,73.2,father_son,78.5
2,73.66,4,4,female,65.5,father_daughter,75.5
2,73.66,4,2,male,72.5,father_son,75.5
3,72.06,2,2,female,68,father_daughter,75
3,72.06,2,1,male,71,father_son,75
4,72.06,5,5,female,63,father_daughter,75
4,72.06,5,2,male,68.5,father_son,75
5,69.09,6,5,female,62.5,father_daughter,75
5,69.09,6,1,male,72,father_son,75
6,73.72,1,1,female,69.5,father_daughter,74
7,73.72,6,5,female,70.5,father_daughter,74
7,73.72,6,3,male,73,father_son,74
8,72.91,3,2,female,68,father_daughter,74
9,72.89,1,1,female,66,father_daughter,74.5
10,72.37,1,1,female,65.5,father_daughter,74
11,70.48,8,7,female,63.5,father_daughter,74
11,70.48,8,2,male,70,father_son,74
12,69.94,1,1,female,65,father_daughter,74
13,72.68,2,2,female,62,father_daughter,73
13,72.68,2,1,male,71,father_son,73
14,72.68,2,1,male,68,father_son,73
15,72.41,3,3,female,66.7,father_daughter,73
15,72.41,3,1,male,71,father_son,73
16,71.6,9,7,female,66.5,father_daughter,73
16,71.6,9,2,male,70.5,father_son,73
17,71.33,6,5,female,66.5,father_daughter,73
17,71.33,6,2,male,73,father_son,73
18,71.06,3,3,female,64,father_daughter,73
19,70.62,1,1,female,62.7,father_daughter,73.2
20,73.61,8,6,female,68.5,father_daughter,72.7
20,73.61,8,2,male,73,father_son,72.7
21,72.72,3,2,female,68.5,father_daughter,72
21,72.72,3,1,male,73,father_son,72
22,72.18,3,3,female,67,father_daughter,72
22,72.18,3,2,male,71,father_son,72
23,71.1,7,7,female,65,father_daughter,72
23,71.1,7,1,male,74.2,father_son,72
24,71.37,1,1,female,65.5,father_daughter,72
25,70.56,2,1,female,66,father_daughter,72
26,70.02,5,5,female,63,father_daughter,72
26,70.02,5,2,male,70.5,father_son,72
27,70.02,3,3,female,63,father_daughter,72
27,70.02,3,2,male,67,father_son,72
28,70.02,6,5,female,66.5,father_daughter,72
28,70.02,6,2,male,67,father_son,72
29,70.54,3,1,female,67.5,father_daughter,72.5
30,69.48,1,1,female,64,father_daughter,72
31,69.73,6,6,female,65,father_daughter,72.5
31,69.73,6,3,male,70,father_son,72.5
32,69.48,5,4,female,67.5,father_daughter,72
32,69.48,5,3,male,69,father_son,72
33,69.48,5,5,female,68,father_daughter,72
33,69.48,5,1,male,72,father_son,72
34,68.94,1,1,female,65.7,father_daughter,72
35,72.76,5,5,female,67,father_daughter,71
35,72.76,5,2,male,74,father_son,71
36,71.68,4,4,female,67,father_daughter,71
36,71.68,4,2,male,73,father_son,71
37,71.14,4,3,female,67,father_daughter,71
37,71.14,4,1,male,70,father_son,71
38,71.14,6,4,female,66,father_daughter,71
38,71.14,6,2,male,69,father_son,71
39,71.14,2,2,female,67,father_daughter,71
39,71.14,2,1,male,71,father_son,71
40,71.14,5,5,female,66,father_daughter,71
40,71.14,5,2,male,72,father_son,71
41,71.22,1,1,male,70.5,father_son,71.7
42,70.87,6,5,female,66,father_daughter,71
42,70.87,6,4,male,69,father_son,71
43,71.12,2,2,female,65.2,father_daughter,71.5
43,71.12,2,1,male,73,father_son,71.5
44,70.85,2,1,male,68.5,father_son,71.5
45,70.6,3,3,female,62,father_daughter,71
45,70.6,3,1,male,68,father_son,71
46,70.06,8,8,female,65,father_daughter,71
47,70.68,4,4,female,67,father_daughter,71.7
47,70.68,4,2,male,71,father_son,71.7
48,70.06,3,3,male,68,father_son,71
49,70.58,7,7,female,62,father_daughter,71.5
49,70.58,7,2,male,71,father_son,71.5
50,70.33,2,2,female,62,father_daughter,71
50,70.33,2,1,male,73,father_son,71
51,69.62,2,1,female,67.5,father_daughter,71.2
52,69.79,5,5,female,63.5,father_daughter,71
52,69.79,5,1,male,71,father_son,71
53,69.52,9,8,female,63,father_daughter,71
53,69.52,9,1,male,71,father_son,71
54,69.52,4,4,female,63.5,father_daughter,71
54,69.52,4,1,male,71,father_son,71
55,68.98,5,3,female,64.5,father_daughter,71
55,68.98,5,1,male,71,father_son,71
56,68.98,5,5,female,60,father_daughter,71
56,68.98,5,3,male,70.5,father_son,71
57,69.25,5,5,female,62.5,father_daughter,71
57,69.25,5,1,male,70,father_son,71
58,68.98,7,6,female,64.5,father_daughter,71
58,68.98,7,3,male,69,father_son,71
59,68.44,1,1,female,62,father_daughter,71
60,66.82,2,2,male,69,father_son,71
61,72.26,4,4,female,69,father_daughter,70
61,72.26,4,2,male,70,father_son,70
62,72.26,6,4,female,66,father_daughter,70
62,72.26,6,2,male,68.7,father_son,70
63,71.72,1,1,male,75,father_son,70
64,71.18,5,3,female,66,father_daughter,70
64,71.18,5,1,male,70,father_son,70
65,71.18,1,1,female,67.5,father_daughter,70
66,70.91,11,11,female,63.7,father_daughter,70
66,70.91,11,3,male,72,father_son,70
67,70.35,4,4,male,68.5,father_son,70.5
68,70.35,5,4,female,61,father_daughter,70.5
69,70.1,8,7,female,63,father_daughter,70
69,70.1,8,3,male,70.5,father_son,70
70,70.1,5,3,female,64.5,father_daughter,70
70,70.1,5,1,male,67,father_son,70
71,70.1,6,5,female,65,father_daughter,70
71,70.1,6,1,male,70,father_son,70
72,70.1,7,5,female,67,father_daughter,70
72,70.1,7,2,male,75,father_son,70
73,70.1,3,3,female,65,father_daughter,70
73,70.1,3,1,male,73,father_son,70
74,70.1,2,1,male,69,father_son,70
75,69.938,7,4,female,66.5,father_daughter,70
75,69.938,7,3,male,68.7,father_son,70
76,69.56,7,7,female,67,father_daughter,70
76,69.56,7,4,male,67,father_son,70
77,69.56,4,4,female,65.5,father_daughter,70
77,69.56,4,1,male,70,father_son,70
78,69.668,5,4,female,61.2,father_daughter,70
78,69.668,5,2,male,70,father_son,70
79,69.81,8,7,female,65.5,father_daughter,70.5
79,69.81,8,1,male,74,father_son,70.5
80,70.08,1,1,female,60,father_daughter,70.5
81,69.56,4,4,female,62,father_daughter,70
81,69.56,4,1,male,68,father_son,70
82,69.56,9,8,female,65,father_daughter,70
82,69.56,9,4,male,70,father_son,70
83,69.398,8,8,female,61,father_daughter,70
