year,movieId,rating
1902.0,32898,6
1915.0,7065,2
1916.0,62383,1
1917.0,8511,2
1918.0,3309,2
1919.0,72626,1
1920.0,6987,13
1920.0,25737,1
1920.0,59945,1
1921.0,3310,8
1921.0,83096,1
1921.0,83318,1
1921.0,83322,1
1921.0,83359,1
1922.0,1348,21
1922.0,4768,2
1922.0,25744,1
1922.0,44587,2
1922.0,83361,1
1922.0,83411,1
1923.0,3140,1
1923.0,8235,1
1923.0,8609,1
1924.0,4405,1
1924.0,7074,1
1924.0,7302,1
1924.0,25750,5
1924.0,25753,2
1925.0,3133,2
1925.0,3232,1
1925.0,3629,11
1925.0,3742,16
1925.0,4277,3
1925.0,6986,5
1925.0,25752,1
1925.0,25755,1
1926.0,957,1
1926.0,3022,14
1926.0,3492,1
1926.0,4404,2
1926.0,7309,1
1926.0,121618,1
1927.0,1925,2
1927.0,2010,26
1927.0,2227,1
1927.0,7914,1
1927.0,8125,3
1927.0,8275,3
1927.0,8423,1
1927.0,58649,1
1928.0,2102,7
1928.0,3306,4
1928.0,6985,5
1928.0,25764,1
1928.0,25769,4
1929.0,1926,1
1929.0,2221,1
1929.0,6433,3
1929.0,25763,1
1929.0,25771,10
1929.0,33312,1
1929.0,59846,1
1930.0,1927,14
1930.0,2219,1
1930.0,4970,9
1930.0,7706,6
1930.0,25774,1
1931.0,1260,21
1931.0,1928,1
1931.0,2215,1
1931.0,2644,9
1931.0,2648,15
1931.0,3307,23
1931.0,5560,1
1931.0,5599,1
1931.0,7056,4
1931.0,8228,15
1931.0,25773,1
1931.0,25777,3
1931.0,32280,2
1931.0,72683,1
1932.0,976,2
1932.0,1929,7
1932.0,2214,1
1932.0,2633,3
1932.0,2904,1
1932.0,3739,3
1932.0,7091,9
1932.0,7881,1
1932.0,8044,2
1932.0,8507,9
1932.0,25788,4
1932.0,25792,1
1932.0,53038,1
1933.0,1256,34
1933.0,2366,23
1933.0,3932,4
1933.0,4921,3
1933.0,7080,2
1933.0,7081,1
1933.0,8256,1
1933.0,8670,1
1933.0,25795,1
1933.0,25801,1
1933.0,48301,1
1933.0,71102,1
1933.0,80748,1
1934.0,905,25
1934.0,907,11
1934.0,950,17
1934.0,2212,1
1934.0,3086,5
1934.0,4278,5
1934.0,5097,2
1934.0,25805,3
1934.0,25807,1
1934.0,32160,1
1934.0,39779,1
1934.0,70121,1
1934.0,98458,1
1934.0,99270,1
1935.0,945,21
1935.0,965,16
1935.0,1340,8
1935.0,1931,10
1935.0,7132,11
1935.0,8167,2
1935.0,8572,1
1935.0,52913,1
1935.0,87383,1
1935.0,91286,1
1935.0,99085,1
1936.0,947,11
1936.0,961,1
1936.0,1932,2
1936.0,2210,1
1936.0,3462,32
1936.0,4999,2
1936.0,5098,1
1936.0,7050,1
1936.0,7055,1
1936.0,7834,3
1936.0,25825,2
1936.0,25826,1
1936.0,25827,3
1936.0,25828,1
1936.0,47606,1
1936.0,99089,1
1936.0,99273,1
1937.0,594,71
1937.0,944,3
1937.0,1066,11
1937.0,1067,1
1937.0,1933,1
1937.0,3134,12
1937.0,3217,1
1937.0,3447,1
1937.0,4800,2
1937.0,5099,3
1937.0,6035,1
1937.0,6254,5
1937.0,8542,7
1937.0,25839,1
1937.0,25841,1
1937.0,25842,1
1937.0,32349,1
1937.0,36553,1
1937.0,60343,1
1938.0,940,18
1938.0,955,30
1938.0,1099,11
1938.0,1934,9
1938.0,2208,14
1938.0,7078,4
1938.0,7086,1
1938.0,7222,1
1938.0,8600,4
1938.0,25850,4
1938.0,34002,1
1938.0,98441,1
1938.0,98611,1
1938.0,98803,1
1939.0,917,8
1939.0,919,117
1939.0,920,68
1939.0,927,5
1939.0,936,13
1939.0,954,31
1939.0,962,2
1939.0,2207,1
1939.0,2649,1
1939.0,2847,3
1939.0,2899,3
1939.0,4178,6
1939.0,6412,2
1939.0,6513,1
1939.0,6783,5
1939.0,7061,3
1939.0,7072,4
1939.0,7079,2
1939.0,7311,1
1939.0,7831,3
1939.0,7840,3
1939.0,8404,1
1939.0,25856,1
1939.0,34018,2
1939.0,59180,1
1939.0,99276,1
1940.0,596,66
1940.0,898,37
1940.0,928,23
1940.0,929,5
1940.0,941,4
1940.0,951,26
1940.0,1281,23
1940.0,1282,64
1940.0,2637,1
1940.0,3095,31
1940.0,3097,12
1940.0,3122,1
1940.0,3870,1
1940.0,3929,9
1940.0,5232,1
1940.0,7219,1
1940.0,7579,3
1940.0,8522,2
1940.0,8712,2
1940.0,25852,1
1940.0,25865,1
1940.0,32844,1
1940.0,37211,2
1941.0,913,62
1941.0,923,85
1941.0,956,3
1941.0,973,7
1941.0,1029,42
1941.0,1935,8
1941.0,2205,2
1941.0,2206,5
1941.0,2654,4
1941.0,2935,10
1941.0,2936,6
1941.0,4801,2
1941.0,5234,1
1941.0,7208,1
1941.0,7216,3
1941.0,7833,3
1941.0,25868,3
1941.0,25874,2
1941.0,31116,2
1941.0,32882,2
1941.0,42681,1
1942.0,912,117
1942.0,946,10
1942.0,1936,4
1942.0,2018,34
1942.0,2204,3
1942.0,2638,1
1942.0,2650,1
1942.0,2937,4
1942.0,3061,11
1942.0,3628,1
1942.0,4920,2
1942.0,5177,5
1942.0,5231,1
1942.0,5644,2
1942.0,6228,2
1942.0,6743,5
1942.0,6856,2
1942.0,7583,1
1942.0,7584,4
1942.0,7713,3
1942.0,8331,1
1942.0,8336,1
1942.0,8422,1
1942.0,8465,1
1942.0,8765,1
1942.0,25886,1
1942.0,45179,1
1942.0,71525,1
1943.0,897,4
1943.0,2203,10
1943.0,2651,2
1943.0,2653,1
1943.0,3377,1
1943.0,3611,1
1943.0,3936,6
1943.0,4923,1
1943.0,5001,1
1943.0,5825,1
1943.0,6477,3
1943.0,7883,1
1943.0,8612,2
1943.0,8700,1
1943.0,25882,1
1943.0,25891,2
1943.0,25898,1
1943.0,45679,1
1943.0,47493,1
1943.0,77435,1
1944.0,906,13
1944.0,918,14
1944.0,942,26
1944.0,1069,3
1944.0,1269,37
1944.0,1937,4
1944.0,2202,11
1944.0,2635,2
1944.0,2636,1
1944.0,2647,1
1944.0,3435,32
1944.0,3643,2
1944.0,6983,1
1944.0,7059,1
1944.0,7215,6
1944.0,25900,1
1944.0,25901,1
1944.0,25904,1
1944.0,25906,1
1944.0,25911,1
1944.0,33587,2
1944.0,38384,1
1945.0,931,16
1945.0,966,1
1945.0,1024,4
1945.0,1337,3
1945.0,1938,7
1945.0,2612,9
1945.0,2920,4
1945.0,3599,4
1945.0,3849,1
1945.0,3966,2
1945.0,4194,2
1945.0,4969,5
1945.0,5304,3
1945.0,7702,1
1945.0,7832,1
1945.0,8460,2
1945.0,8482,2
1945.0,8583,1
1945.0,8584,2
1945.0,25916,1
1945.0,47714,1
1945.0,61634,1
1945.0,80346,1
1945.0,87598,1
1946.0,930,21
1946.0,953,72
1946.0,960,2
1946.0,1284,32
1946.0,1939,11
1946.0,2099,10
1946.0,2927,2
1946.0,2940,8
1946.0,3775,1
1946.0,3792,3
1946.0,3965,3
1946.0,5233,1
1946.0,5375,2
1946.0,5601,1
1946.0,7064,7
1946.0,7210,3
1946.0,7728,4
1946.0,7943,4
1946.0,8003,1
1946.0,8208,1
1946.0,25920,1
1946.0,33760,1
1946.0,47728,1
1946.0,68872,1
1947.0,943,12
1947.0,964,2
1947.0,1068,1
1947.0,1154,1
1947.0,1940,7
1947.0,2066,7
1947.0,2201,2
1947.0,2398,22
1947.0,3349,1
1947.0,3380,1
1947.0,3632,3
1947.0,3656,1
1947.0,3759,2
1947.0,4184,3
1947.0,5167,1
1947.0,6047,1
